url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/medicine,BA,Medicine,A*AA,"A*AA in three A-levels (excluding Critical Thinking and Thinking Skills) taken in the same academic year. Candidates are required to achieve at least a grade A in both Chemistry and at least one of Biology, Physics, Mathematics or Further Mathematics. We expect you to have taken and passed any practical component in your chosen science subjects.",39,"39 (including core points) with 766 at HL. Candidates are required to take Chemistry and at least one of Biology, Physics or Mathematics to Higher Level.BTEC Level 3 Extended Diploma: Please visit the Medical Sciences website for details."
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/biomedical-sciences,BA,Biomedical Sciences,A*AA,A*AA excluding Critical Thinking and Thinking Skills.,39,"39 (including core points) with 766 at HL. Candidates are required to have two subjects from Biology, Chemistry, Physics and Mathematics at Higher Level.BTEC Level 3 Extended Diploma:Please visit the Biomedical Sciences website for details on academic requirements."
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/human-sciences,BA,Human Sciences,AAA,AAA,38,38 (including core points) with 666 at HL
https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/biology,BA,Biology,A*AA,"A*AA – Biology and either Chemistry, Physics or Mathematics are required, and the A* must be in a science or Mathematics (view the full list of subjects in which an A* grade will be acceptable)",39,"39 (including core points) – Biology and either Chemistry, Physics or Mathematics are required with 7 in HL Mathematics or a science"
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/biochemistry-molecular-and-cellular,BA,Biochemistry (Molecular and Cellular),A*AA,"A*AA including Chemistry and another Science or Mathematics. The A* must be in Mathematics, Physics, Chemistry or Biology, or a very closely related subject",39,39 (including core points) with 7 in HL Chemistry and 6 in two other relevant subjects at HL or SL
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-experimental,BA,Psychology (Experimental),A*AA,A*AA,39,39 (including core points) with 766 at HL
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-philosophy-and-linguistics,BA,"Psychology, Philosophy and Linguistics ",A*AA,A*AA,39,39 (including core points) with 766 at HL
https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/chemistry,BA,Chemistry,A*A*A,A*A*A (including Chemistry and Mathematics) with both A*s in science or maths subjects.Read the full list of subjects in which an A* grade will be acceptable.,40,"40 (including core points). For applicants offering HL Mathematics 766 at HL with 7 in HL Chemistry and 6 in HL Mathematics. For applicants offering SL Mathematics: 776 at HL with 7 in both HL Chemistry and a second HL science subject, and 7 in SL Mathematics: Analysis and Approaches."
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/physics,BA,Physics,A*AA,"A*AA to include Mathematics and Physics. The A* must be in Mathematics, Physics or Further Mathematics.",39,39 (including core points) with 766 at HL (the 7 should be in either Physics or Mathematics)
http://www.ox.ac.uk/admissions/undergraduate/courses-listing/earth-sciences-geology,BA,Earth Sciences (Geology),A*AA,A*AA to include Mathematics plus Chemistry or Physics or AAAA to include Mathematics plus Chemistry or Physics.,39,39 (including core points) with 766 at HL to include HL Maths plus HL Chemistry or HL Physics.
